"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"1417.699999988079","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","1436","0.0-0.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","4204","0.0-1.0","1xxsddld4c","88329","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","4218","0.0-2.0","1xxsddld4c","88329","","null","","","","","","","","","","","","","",""
"","","","call-function","3","4221","0.0-3.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
"12820.10000000894","","","survey-multi-selectMAS","4","17045","0.0-4.0","1xxsddld4c","88329","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"1559.0999999940395","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","18605","0.0-5.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
"8638","","","survey-text","6","27243","0.0-6.0","1xxsddld4c","88329","","","","{""Age"":""18"",""Gender"":""female"",""Race"":""white"",""Languages"":""english""}","","","","","","","","","","","",""
"2691","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","29935","0.0-7.0","1xxsddld4c","88329","","32","","","","","","","","","","","","","",""
"3214.7000000029802","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","33150","0.0-8.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
"11433","","","assignment-inference","9","44587","0.0-9.0","1xxsddld4c","88329","","","","","","[""mango"",""lemon"",""blueberry"",""strawberry""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","null","null","""practice_trial""","null","[1,1,1,1]","4","null"
"3239.2000000029802","<div style='margin-left: auto;margin-right: auto;width: 100%;text-align: left;'> Press 'Continue' to start the main experiment trials.</div>","0","html-button-response","10","47827","0.0-10.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
"8376","","","assignment-inference","11","56205","0.0-11.0","1xxsddld4c","88329","","","","","","[""celery"",""banana"",""eggplant"",""grape""]","[""#cd26c7"",""#d5b811"",""#512d5f"",""#96c58c""]","[""grape"",""banana"",""eggplant"",""celery""]","[""grape"",""banana"",""eggplant"",""celery""]","""set1""","0","""13""","""uw_71""","[1,1,1,1]","4","6"
"8684","","","assignment-inference","12","64891","0.0-12.0","1xxsddld4c","88329","","","","","","[""working"",""leisure"",""peach"",""cherry""]","[""#f1a78a"",""#ea1d1d"",""#777777"",""#4bcf8e""]","[""peach"",""cherry"",""working"",""leisure""]","[""peach"",""cherry"",""working"",""leisure""]","""set1""","0","""12""","""uw_71""","[1,1,1,1]","4","6"
"18359","","","assignment-inference","13","83252","0.0-13.0","1xxsddld4c","88329","","","","","","[""eggplant"",""comfort"",""safety"",""celery""]","[""#d5b811"",""#632b14"",""#600b84"",""#a3c55b""]","[""safety"",""comfort"",""eggplant"",""celery""]","[""safety"",""comfort"",""eggplant"",""celery""]","""set1""","0","""11""","""uw_71""","[1,1,1,1]","4","6"
"9653","","","assignment-inference","14","92907","0.0-14.0","1xxsddld4c","88329","","","","","","[""blue"",""green"",""red"",""yellow""]","[""#ea1d1d"",""#fcdb42"",""#2f6ef6"",""#67cf5c""]","[""red"",""yellow"",""blue"",""green""]","[""red"",""yellow"",""blue"",""green""]","null","0","""catch_trial""","null","[1,1,1,1]","4","null"
"11635","","","assignment-inference","15","104544","0.0-15.0","1xxsddld4c","88329","","","","","","[""sleeping"",""banana"",""driving"",""grape""]","[""#72005e"",""#f7db7c"",""#000000"",""#ea1d1d""]","[""grape"",""banana"",""sleeping"",""driving""]","[""grape"",""banana"",""sleeping"",""driving""]","""set1""","0","""9""","""uw_71""","[1,1,1,1]","4","6"
"10857","","","assignment-inference","16","115404","0.0-16.0","1xxsddld4c","88329","","","","","","[""efficiency"",""working"",""speed"",""leisure""]","[""#1c3d61"",""#ea1d1d"",""#632b14"",""#cd26c7""]","[""efficiency"",""speed"",""working"",""leisure""]","[""working"",""speed"",""leisure"",""efficiency""]","""set1""","0","""10""","""uw_71""","[0,1,0,0]","1","6"
"15825","","","assignment-inference","17","131231","0.0-17.0","1xxsddld4c","88329","","","","","","[""speed"",""efficiency"",""carrot"",""corn""]","[""#73f5b0"",""#ea1d1d"",""#d5b811"",""#ac6619""]","[""efficiency"",""speed"",""corn"",""carrot""]","[""efficiency"",""speed"",""corn"",""carrot""]","""set1""","0","""14""","""uw_71""","[1,1,1,1]","4","6"
"9128","","","assignment-inference","18","140361","0.0-18.0","1xxsddld4c","88329","","","","","","[""corn"",""peach"",""cherry"",""carrot""]","[""#f1a78a"",""#e81a4b"",""#d5b811"",""#cc4f1b""]","[""peach"",""cherry"",""corn"",""carrot""]","[""peach"",""cherry"",""corn"",""carrot""]","""set1""","0","""8""","""uw_71""","[1,1,1,1]","4","6"
"9342","","","assignment-inference","19","149705","0.0-19.0","1xxsddld4c","88329","","","","","","[""comfort"",""sleeping"",""driving"",""safety""]","[""#d0e942"",""#632b14"",""#000000"",""#ea1d1d""]","[""safety"",""comfort"",""sleeping"",""driving""]","[""comfort"",""safety"",""sleeping"",""driving""]","""set1""","0","""15""","""uw_71""","[0,0,1,1]","2","6"
"1815.5999999940395","<div style='margin-left: auto;margin-right: auto;width: 75%;text-align: left;'>Great job! You've completed 13% of the trials! Click 'Continue' when you are ready to keep going. </div>","0","html-button-response","20","151523","0.0-20.0","1xxsddld4c","88329","","","","","","","","","","","","","","","",""
