"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"1799.8000001907349","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","1810","0.0-0.0","5zvnnfb1xh","90627","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","3546","0.0-1.0","5zvnnfb1xh","90627","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","3559","0.0-2.0","5zvnnfb1xh","90627","","null","","","","","","","","","","","","","",""
"","","","call-function","3","3560","0.0-3.0","5zvnnfb1xh","90627","","","","","","","","","","","","","","","",""
"3184.7000000476837","","","survey-multi-selectMAS","4","6748","0.0-4.0","5zvnnfb1xh","90627","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"953.3999998569489","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","7703","0.0-5.0","5zvnnfb1xh","90627","","","","","","","","","","","","","","","",""
"2489.600000143051","","","survey-text","6","10196","0.0-6.0","5zvnnfb1xh","90627","","","","{""Age"":""2"",""Gender"":""2"",""Race"":""2"",""Languages"":""2""}","","","","","","","","","","","",""
"991.5","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","11189","0.0-7.0","5zvnnfb1xh","90627","","32","","","","","","","","","","","","","",""
"1029.0999999046326","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","12220","0.0-8.0","5zvnnfb1xh","90627","","","","","","","","","","","","","","","",""
"3978","","","assignment-inference","9","16200","0.0-9.0","5zvnnfb1xh","90627","","","","","","[""strawberry"",""mango"",""blueberry"",""lemon""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","["" ____ "",""____"",""____"",""____""]","null","null","""practice_trial""","null","[0,0,0,0]","0","null"
"97.40000009536743","<div style='margin-left: auto;margin-right: auto;width: 100%;text-align: left;'> Press 'Continue' to start the main experiment trials.</div>","0","html-button-response","10","16298","0.0-10.0","5zvnnfb1xh","90627","","","","","","","","","","","","","","","",""
"4","","","assignment-inference","11","16303","0.0-11.0","5zvnnfb1xh","90627","","","","","","[""peach"",""cherry"",""driving"",""sleeping""]","[""#f7a75a"",""#e81a4b"",""#000000"",""#d5b811""]","[""peach"",""cherry"",""sleeping"",""driving""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""1""","""uw_71""","[0,0,0,0]","0","6"
"95","","","assignment-inference","12","16398","0.0-12.0","5zvnnfb1xh","90627","","","","","","[""efficiency"",""sleeping"",""speed"",""driving""]","[""#67cf5c"",""#c94e4b"",""#000000"",""#d5b811""]","[""efficiency"",""speed"",""sleeping"",""driving""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""7""","""uw_71""","[0,0,0,0]","0","6"
"100","","","assignment-inference","13","16499","0.0-13.0","5zvnnfb1xh","90627","","","","","","[""red"",""yellow"",""blue"",""green""]","[""#ea1d1d"",""#fcdb42"",""#2f6ef6"",""#67cf5c""]","[""red"",""yellow"",""blue"",""green""]","["" ____ "",""____"",""____"",""____""]","null","0","""catch_trial""","null","[0,0,0,0]","0","null"
"99","","","assignment-inference","14","16598","0.0-14.0","5zvnnfb1xh","90627","","","","","","[""working"",""comfort"",""leisure"",""safety""]","[""#73cf10"",""#632b14"",""#777777"",""#cd26c7""]","[""safety"",""comfort"",""working"",""leisure""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""2""","""uw_71""","[0,0,0,0]","0","6"
"101","","","assignment-inference","15","16699","0.0-15.0","5zvnnfb1xh","90627","","","","","","[""carrot"",""corn"",""safety"",""comfort""]","[""#73cf10"",""#632b14"",""#d5b811"",""#cc4f1b""]","[""safety"",""comfort"",""corn"",""carrot""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""6""","""uw_71""","[0,0,0,0]","0","6"
"99","","","assignment-inference","16","16798","0.0-16.0","5zvnnfb1xh","90627","","","","","","[""working"",""leisure"",""grape"",""banana""]","[""#512d5f"",""#d5b811"",""#777777"",""#4bcf8e""]","[""grape"",""banana"",""working"",""leisure""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""4""","""uw_71""","[0,0,0,0]","0","6"
"99","","","assignment-inference","17","16898","0.0-17.0","5zvnnfb1xh","90627","","","","","","[""carrot"",""banana"",""grape"",""corn""]","[""#600b84"",""#d0e942"",""#c7b88b"",""#cc4f1b""]","[""grape"",""banana"",""corn"",""carrot""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""0""","""uw_71""","[0,0,0,0]","0","6"
"99","","","assignment-inference","18","16998","0.0-18.0","5zvnnfb1xh","90627","","","","","","[""eggplant"",""celery"",""cherry"",""peach""]","[""#f7a75a"",""#ea1d1d"",""#3518ad"",""#aac510""]","[""peach"",""cherry"",""eggplant"",""celery""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""5""","""uw_71""","[0,0,0,0]","0","6"
"99","","","assignment-inference","19","17099","0.0-19.0","5zvnnfb1xh","90627","","","","","","[""eggplant"",""celery"",""efficiency"",""speed""]","[""#b9b9b9"",""#ea1d1d"",""#72005e"",""#608218""]","[""efficiency"",""speed"",""eggplant"",""celery""]","["" ____ "",""____"",""____"",""____""]","""set2""","0","""3""","""uw_71""","[0,0,0,0]","0","6"
