"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"5594.700000047684","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","5608","0.0-0.0","f6ycjwm45a","89526","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","8841","0.0-1.0","f6ycjwm45a","89526","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","8856","0.0-2.0","f6ycjwm45a","89526","","null","","","","","","","","","","","","","",""
"","","","call-function","3","8858","0.0-3.0","f6ycjwm45a","89526","","","","","","","","","","","","","","","",""
"15923.200000047684","","","survey-multi-selectMAS","4","24785","0.0-4.0","f6ycjwm45a","89526","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"3155.7999999523163","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","27943","0.0-5.0","f6ycjwm45a","89526","","","","","","","","","","","","","","","",""
"32819.59999990463","","","survey-text","6","60769","0.0-6.0","f6ycjwm45a","89526","","","","{""Age"":""19"",""Gender"":""Female"",""Race"":""African American"",""Languages"":""English""}","","","","","","","","","","","",""
"22901","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","83673","0.0-7.0","f6ycjwm45a","89526","","32","","","","","","","","","","","","","",""
"77635.40000009537","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","161311","0.0-8.0","f6ycjwm45a","89526","","","","","","","","","","","","","","","",""
"30860","","","assignment-inference","9","192174","0.0-9.0","f6ycjwm45a","89526","","","","","","[""mango"",""strawberry"",""blueberry"",""lemon""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","null","null","""practice_trial""","null","[1,1,1,1]","4","null"
"2888.399999856949","<div style='margin-left: auto;margin-right: auto;width: 100%;text-align: left;'> Press 'Continue' to start the main experiment trials.</div>","0","html-button-response","10","195064","0.0-10.0","f6ycjwm45a","89526","","","","","","","","","","","","","","","",""
"16130","","","assignment-inference","11","211197","0.0-11.0","f6ycjwm45a","89526","","","","","","[""red"",""green"",""yellow"",""blue""]","[""#fcdb42"",""#2f6ef6"",""#67cf5c"",""#ea1d1d""]","[""yellow"",""blue"",""green"",""red""]","[""yellow"",""blue"",""green"",""red""]","null","0","""catch_trial""","null","[1,1,1,1]","4","null"
"31035","","","assignment-inference","12","242234","0.0-12.0","f6ycjwm45a","89526","","","","","","[""driving"",""safety"",""comfort"",""sleeping""]","[""#632b14"",""#000000"",""#ea1d1d"",""#d0e942""]","[""comfort"",""sleeping"",""driving"",""safety""]","[""comfort"",""sleeping"",""driving"",""safety""]","""set1""","0","""15""","""uw_71""","[1,1,1,1]","4","7"
"22839","","","assignment-inference","13","265075","0.0-13.0","f6ycjwm45a","89526","","","","","","[""leisure"",""working"",""speed"",""efficiency""]","[""#ea1d1d"",""#632b14"",""#cd26c7"",""#1c3d61""]","[""speed"",""working"",""leisure"",""efficiency""]","[""speed"",""leisure"",""efficiency"",""working""]","""set1""","0","""10""","""uw_71""","[1,0,0,0]","1","7"
"10404","","","assignment-inference","14","275481","0.0-14.0","f6ycjwm45a","89526","","","","","","[""sleeping"",""banana"",""grape"",""driving""]","[""#f7db7c"",""#000000"",""#ea1d1d"",""#72005e""]","[""banana"",""sleeping"",""driving"",""grape""]","[""banana"",""sleeping"",""driving"",""grape""]","""set1""","0","""9""","""uw_71""","[1,1,1,1]","4","7"
"14508","","","assignment-inference","15","289992","0.0-15.0","f6ycjwm45a","89526","","","","","","[""peach"",""cherry"",""working"",""leisure""]","[""#ea1d1d"",""#777777"",""#4bcf8e"",""#f1a78a""]","[""cherry"",""working"",""leisure"",""peach""]","[""cherry"",""working"",""leisure"",""peach""]","""set1""","0","""12""","""uw_71""","[1,1,1,1]","4","7"
