"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"1011","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","1048","0.0-0.0","kargoesm0t","87742","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","3093","0.0-1.0","kargoesm0t","87742","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","3106","0.0-2.0","kargoesm0t","87742","","null","","","","","","","","","","","","","",""
"","","","call-function","3","3107","0.0-3.0","kargoesm0t","87742","","","","","","","","","","","","","","","",""
"7112.400000095367","","","survey-multi-selectMAS","4","10222","0.0-4.0","kargoesm0t","87742","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"1208.4000000953674","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","11432","0.0-5.0","kargoesm0t","87742","","","","","","","","","","","","","","","",""
"21911","","","survey-text","6","33347","0.0-6.0","kargoesm0t","87742","","","","{""Age"":""19"",""Gender"":""Female"",""Race"":""Hispanice/white"",""Languages"":""English and some Spanish\n""}","","","","","","","","","","","",""
"5695","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","39043","0.0-7.0","kargoesm0t","87742","","32","","","","","","","","","","","","","",""
"17436.599999904633","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","56482","0.0-8.0","kargoesm0t","87742","","","","","","","","","","","","","","","",""
"18915","","","assignment-inference","9","75399","0.0-9.0","kargoesm0t","87742","","","","","","[""lemon"",""mango"",""strawberry"",""blueberry""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","null","null","""practice_trial""","null","[1,1,1,1]","4","null"
"1105.5","<div style='margin-left: auto;margin-right: auto;width: 100%;text-align: left;'> Press 'Continue' to start the main experiment trials.</div>","0","html-button-response","10","76506","0.0-10.0","kargoesm0t","87742","","","","","","","","","","","","","","","",""
"13805","","","assignment-inference","11","90312","0.0-11.0","kargoesm0t","87742","","","","","","[""efficiency"",""speed"",""corn"",""carrot""]","[""#d5b811"",""#ac6619"",""#73f5b0"",""#ea1d1d""]","[""corn"",""carrot"",""efficiency"",""speed""]","[""corn"",""carrot"",""speed"",""efficiency""]","""set1""","0","""14""","""uw_71""","[1,1,0,0]","2","4"
"10797","","","assignment-inference","12","101111","0.0-12.0","kargoesm0t","87742","","","","","","[""leisure"",""speed"",""working"",""efficiency""]","[""#632b14"",""#cd26c7"",""#1c3d61"",""#ea1d1d""]","[""working"",""leisure"",""efficiency"",""speed""]","[""working"",""efficiency"",""leisure"",""speed""]","""set1""","0","""10""","""uw_71""","[1,0,0,1]","2","4"
"10503","","","assignment-inference","13","111616","0.0-13.0","kargoesm0t","87742","","","","","","[""celery"",""banana"",""grape"",""eggplant""]","[""#512d5f"",""#96c58c"",""#cd26c7"",""#d5b811""]","[""eggplant"",""celery"",""grape"",""banana""]","[""eggplant"",""celery"",""grape"",""banana""]","""set1""","0","""13""","""uw_71""","[1,1,1,1]","4","4"
"10993","","","assignment-inference","14","122611","0.0-14.0","kargoesm0t","87742","","","","","","[""leisure"",""working"",""peach"",""cherry""]","[""#777777"",""#4bcf8e"",""#f1a78a"",""#ea1d1d""]","[""working"",""leisure"",""peach"",""cherry""]","[""working"",""leisure"",""peach"",""cherry""]","""set1""","0","""12""","""uw_71""","[1,1,1,1]","4","4"
"11472","","","assignment-inference","15","134084","0.0-15.0","kargoesm0t","87742","","","","","","[""safety"",""sleeping"",""driving"",""comfort""]","[""#000000"",""#ea1d1d"",""#d0e942"",""#632b14""]","[""sleeping"",""driving"",""safety"",""comfort""]","[""sleeping"",""driving"",""comfort"",""safety""]","""set1""","0","""15""","""uw_71""","[1,1,0,0]","2","4"
"9692","","","assignment-inference","16","143777","0.0-16.0","kargoesm0t","87742","","","","","","[""corn"",""carrot"",""cherry"",""peach""]","[""#d5b811"",""#cc4f1b"",""#f1a78a"",""#e81a4b""]","[""corn"",""carrot"",""peach"",""cherry""]","[""corn"",""carrot"",""peach"",""cherry""]","""set1""","0","""8""","""uw_71""","[1,1,1,1]","4","4"
"8989","","","assignment-inference","17","152768","0.0-17.0","kargoesm0t","87742","","","","","","[""comfort"",""safety"",""celery"",""eggplant""]","[""#600b84"",""#a3c55b"",""#d5b811"",""#632b14""]","[""eggplant"",""celery"",""safety"",""comfort""]","[""eggplant"",""celery"",""safety"",""comfort""]","""set1""","0","""11""","""uw_71""","[1,1,1,1]","4","4"
