"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"11049.099999904633","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","11068","0.0-0.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","13067","0.0-1.0","lda3zn2dm2","87941","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","13079","0.0-2.0","lda3zn2dm2","87941","","null","","","","","","","","","","","","","",""
"","","","call-function","3","13080","0.0-3.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"39282.10000014305","","","survey-multi-selectMAS","4","52364","0.0-4.0","lda3zn2dm2","87941","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"1115.2000000476837","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","53481","0.0-5.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"138804.70000004768","","","survey-text","6","192287","0.0-6.0","lda3zn2dm2","87941","","","","{""Age"":""19"",""Gender"":""female"",""Race"":""Asian"",""Languages"":""Korean\nEnglish\nSpanish\nJapanese\nChinese\nGerman \nItalian\nNigerian\nCuban\nIndonesian \nIndian\nSingaporean\nRussian""}","","","","","","","","","","","",""
"4846.5","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","197135","0.0-7.0","lda3zn2dm2","87941","","32","","","","","","","","","","","","","",""
"54280.5","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","251416","0.0-8.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"16986","","","assignment-inference","9","268404","0.0-9.0","lda3zn2dm2","87941","","","","","","[""strawberry"",""mango"",""lemon"",""blueberry""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","null","null","""practice_trial""","null","[1,1,1,1]","4","null"
"1204.2999999523163","<div style='margin-left: auto;margin-right: auto;width: 100%;text-align: left;'> Press 'Continue' to start the main experiment trials.</div>","0","html-button-response","10","269609","0.0-10.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"8130","","","assignment-inference","11","277740","0.0-11.0","lda3zn2dm2","87941","","","","","","[""blue"",""green"",""yellow"",""red""]","[""#fcdb42"",""#2f6ef6"",""#67cf5c"",""#ea1d1d""]","[""yellow"",""blue"",""green"",""red""]","[""yellow"",""blue"",""green"",""red""]","null","0","""catch_trial""","null","[1,1,1,1]","4","null"
"8738","","","assignment-inference","12","286480","0.0-12.0","lda3zn2dm2","87941","","","","","","[""driving"",""efficiency"",""speed"",""sleeping""]","[""#c94e4b"",""#000000"",""#d5b811"",""#67cf5c""]","[""speed"",""sleeping"",""driving"",""efficiency""]","[""speed"",""driving"",""efficiency"",""sleeping""]","""set2""","0","""7""","""uw_71""","[1,0,0,0]","1","3"
"13412","","","assignment-inference","13","299894","0.0-13.0","lda3zn2dm2","87941","","","","","","[""efficiency"",""eggplant"",""celery"",""speed""]","[""#ea1d1d"",""#72005e"",""#608218"",""#b9b9b9""]","[""speed"",""eggplant"",""celery"",""efficiency""]","[""speed"",""eggplant"",""efficiency"",""celery""]","""set2""","0","""3""","""uw_71""","[1,1,0,0]","2","3"
"8724","","","assignment-inference","14","308619","0.0-14.0","lda3zn2dm2","87941","","","","","","[""corn"",""banana"",""grape"",""carrot""]","[""#d0e942"",""#c7b88b"",""#cc4f1b"",""#600b84""]","[""banana"",""corn"",""carrot"",""grape""]","[""corn"",""banana"",""carrot"",""grape""]","""set2""","0","""0""","""uw_71""","[0,0,1,1]","2","3"
"18827","","","assignment-inference","15","327447","0.0-15.0","lda3zn2dm2","87941","","","","","","[""peach"",""sleeping"",""driving"",""cherry""]","[""#e81a4b"",""#000000"",""#d5b811"",""#f7a75a""]","[""cherry"",""sleeping"",""driving"",""peach""]","[""cherry"",""driving"",""sleeping"",""peach""]","""set2""","0","""1""","""uw_71""","[1,0,0,1]","2","3"
"7525","","","assignment-inference","16","334974","0.0-16.0","lda3zn2dm2","87941","","","","","","[""corn"",""comfort"",""safety"",""carrot""]","[""#632b14"",""#d5b811"",""#cc4f1b"",""#73cf10""]","[""comfort"",""corn"",""carrot"",""safety""]","[""corn"",""comfort"",""carrot"",""safety""]","""set2""","0","""6""","""uw_71""","[0,0,1,1]","2","3"
"8656","","","assignment-inference","17","343630","0.0-17.0","lda3zn2dm2","87941","","","","","","[""safety"",""working"",""comfort"",""leisure""]","[""#632b14"",""#777777"",""#cd26c7"",""#73cf10""]","[""comfort"",""working"",""leisure"",""safety""]","[""comfort"",""working"",""leisure"",""safety""]","""set2""","0","""2""","""uw_71""","[1,1,1,1]","4","3"
"10394","","","assignment-inference","18","354025","0.0-18.0","lda3zn2dm2","87941","","","","","","[""eggplant"",""peach"",""celery"",""cherry""]","[""#ea1d1d"",""#3518ad"",""#aac510"",""#f7a75a""]","[""cherry"",""eggplant"",""celery"",""peach""]","[""cherry"",""eggplant"",""celery"",""peach""]","""set2""","0","""5""","""uw_71""","[1,1,1,1]","4","3"
"6946","","","assignment-inference","19","360972","0.0-19.0","lda3zn2dm2","87941","","","","","","[""banana"",""leisure"",""grape"",""working""]","[""#d5b811"",""#777777"",""#4bcf8e"",""#512d5f""]","[""banana"",""working"",""leisure"",""grape""]","[""banana"",""leisure"",""working"",""grape""]","""set2""","0","""4""","""uw_71""","[1,0,0,1]","2","3"
"3611.0999999046326","<div style='margin-left: auto;margin-right: auto;width: 75%;text-align: left;'>Great job! You've completed 13% of the trials! Click 'Continue' when you are ready to keep going. </div>","0","html-button-response","20","364585","0.0-20.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"9108","","","assignment-inference","21","373693","0.0-21.0","lda3zn2dm2","87941","","","","","","[""leisure"",""banana"",""grape"",""working""]","[""#4bcf8e"",""#512d5f"",""#d5b811"",""#777777""]","[""leisure"",""grape"",""banana"",""working""]","[""working"",""grape"",""banana"",""leisure""]","""set2""","1","""4""","""uw_71""","[0,1,1,0]","2","5"
"9043","","","assignment-inference","22","382737","0.0-22.0","lda3zn2dm2","87941","","","","","","[""comfort"",""leisure"",""safety"",""working""]","[""#cd26c7"",""#73cf10"",""#632b14"",""#777777""]","[""leisure"",""safety"",""comfort"",""working""]","[""leisure"",""comfort"",""safety"",""working""]","""set2""","1","""2""","""uw_71""","[1,0,0,1]","2","5"
"6833","","","assignment-inference","23","389571","0.0-23.0","lda3zn2dm2","87941","","","","","","[""cherry"",""eggplant"",""peach"",""celery""]","[""#aac510"",""#f7a75a"",""#ea1d1d"",""#3518ad""]","[""celery"",""peach"",""cherry"",""eggplant""]","[""celery"",""peach"",""cherry"",""eggplant""]","""set2""","1","""5""","""uw_71""","[1,1,1,1]","4","5"
"7714","","","assignment-inference","24","397286","0.0-24.0","lda3zn2dm2","87941","","","","","","[""yellow"",""green"",""blue"",""red""]","[""#67cf5c"",""#ea1d1d"",""#fcdb42"",""#2f6ef6""]","[""green"",""red"",""yellow"",""blue""]","[""green"",""red"",""yellow"",""blue""]","null","1","""catch_trial""","null","[1,1,1,1]","4","null"
"10912","","","assignment-inference","25","408199","0.0-25.0","lda3zn2dm2","87941","","","","","","[""corn"",""comfort"",""carrot"",""safety""]","[""#cc4f1b"",""#73cf10"",""#632b14"",""#d5b811""]","[""carrot"",""safety"",""comfort"",""corn""]","[""carrot"",""comfort"",""safety"",""corn""]","""set2""","1","""6""","""uw_71""","[1,0,0,1]","2","5"
"7765","","","assignment-inference","26","415965","0.0-26.0","lda3zn2dm2","87941","","","","","","[""efficiency"",""speed"",""driving"",""sleeping""]","[""#d5b811"",""#67cf5c"",""#c94e4b"",""#000000""]","[""driving"",""efficiency"",""speed"",""sleeping""]","[""sleeping"",""efficiency"",""speed"",""driving""]","""set2""","1","""7""","""uw_71""","[0,1,1,0]","2","5"
"9993","","","assignment-inference","27","425960","0.0-27.0","lda3zn2dm2","87941","","","","","","[""speed"",""efficiency"",""eggplant"",""celery""]","[""#608218"",""#b9b9b9"",""#ea1d1d"",""#72005e""]","[""celery"",""efficiency"",""speed"",""eggplant""]","[""eggplant"",""celery"",""speed"",""efficiency""]","""set2""","1","""3""","""uw_71""","[0,0,1,0]","1","5"
"7800","","","assignment-inference","28","433761","0.0-28.0","lda3zn2dm2","87941","","","","","","[""driving"",""peach"",""sleeping"",""cherry""]","[""#d5b811"",""#f7a75a"",""#e81a4b"",""#000000""]","[""driving"",""peach"",""cherry"",""sleeping""]","[""sleeping"",""peach"",""cherry"",""driving""]","""set2""","1","""1""","""uw_71""","[0,1,1,0]","2","5"
"7076","","","assignment-inference","29","440838","0.0-29.0","lda3zn2dm2","87941","","","","","","[""grape"",""banana"",""corn"",""carrot""]","[""#cc4f1b"",""#600b84"",""#d0e942"",""#c7b88b""]","[""carrot"",""grape"",""banana"",""corn""]","[""carrot"",""grape"",""corn"",""banana""]","""set2""","1","""0""","""uw_71""","[1,1,0,0]","2","5"
"2156.899999856949","<div style='margin-left: auto;margin-right: auto;width: 75%;text-align: left;'>Great job! You've completed 25% of the trials! Click 'Continue' when you are ready to keep going. </div>","0","html-button-response","30","442997","0.0-30.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"12731","","","assignment-inference","31","455729","0.0-31.0","lda3zn2dm2","87941","","","","","","[""sleeping"",""efficiency"",""speed"",""driving""]","[""#000000"",""#d5b811"",""#67cf5c"",""#c94e4b""]","[""sleeping"",""driving"",""efficiency"",""speed""]","[""driving"",""speed"",""efficiency"",""sleeping""]","""set2""","2","""7""","""uw_71""","[0,0,1,0]","1","4"
"22574","","","assignment-inference","32","478305","0.0-32.0","lda3zn2dm2","87941","","","","","","[""eggplant"",""celery"",""cherry"",""peach""]","[""#3518ad"",""#aac510"",""#f7a75a"",""#ea1d1d""]","[""eggplant"",""celery"",""peach"",""cherry""]","[""eggplant"",""cherry"",""peach"",""celery""]","""set2""","2","""5""","""uw_71""","[1,0,1,0]","2","4"
"7661","","","assignment-inference","33","485967","0.0-33.0","lda3zn2dm2","87941","","","","","","[""yellow"",""blue"",""red"",""green""]","[""#2f6ef6"",""#67cf5c"",""#ea1d1d"",""#fcdb42""]","[""blue"",""green"",""red"",""yellow""]","[""blue"",""green"",""red"",""yellow""]","null","2","""catch_trial""","null","[1,1,1,1]","4","null"
"12652","","","assignment-inference","34","498620","0.0-34.0","lda3zn2dm2","87941","","","","","","[""driving"",""sleeping"",""peach"",""cherry""]","[""#000000"",""#d5b811"",""#f7a75a"",""#e81a4b""]","[""sleeping"",""driving"",""peach"",""cherry""]","[""driving"",""sleeping"",""peach"",""cherry""]","""set2""","2","""1""","""uw_71""","[0,0,1,1]","2","4"
"10982","","","assignment-inference","35","509604","0.0-35.0","lda3zn2dm2","87941","","","","","","[""carrot"",""corn"",""comfort"",""safety""]","[""#d5b811"",""#cc4f1b"",""#73cf10"",""#632b14""]","[""corn"",""carrot"",""safety"",""comfort""]","[""corn"",""carrot"",""safety"",""comfort""]","""set2""","2","""6""","""uw_71""","[1,1,1,1]","4","4"
"7370","","","assignment-inference","36","516975","0.0-36.0","lda3zn2dm2","87941","","","","","","[""grape"",""carrot"",""corn"",""banana""]","[""#c7b88b"",""#cc4f1b"",""#600b84"",""#d0e942""]","[""corn"",""carrot"",""grape"",""banana""]","[""banana"",""carrot"",""grape"",""corn""]","""set2""","2","""0""","""uw_71""","[0,1,1,0]","2","4"
"13917","","","assignment-inference","37","530893","0.0-37.0","lda3zn2dm2","87941","","","","","","[""celery"",""efficiency"",""eggplant"",""speed""]","[""#72005e"",""#608218"",""#b9b9b9"",""#ea1d1d""]","[""eggplant"",""celery"",""efficiency"",""speed""]","[""eggplant"",""celery"",""speed"",""efficiency""]","""set2""","2","""3""","""uw_71""","[1,1,0,0]","2","4"
"8379","","","assignment-inference","38","539272","0.0-38.0","lda3zn2dm2","87941","","","","","","[""leisure"",""grape"",""banana"",""working""]","[""#777777"",""#4bcf8e"",""#512d5f"",""#d5b811""]","[""working"",""leisure"",""grape"",""banana""]","[""working"",""leisure"",""grape"",""banana""]","""set2""","2","""4""","""uw_71""","[1,1,1,1]","4","4"
"7064","","","assignment-inference","39","546338","0.0-39.0","lda3zn2dm2","87941","","","","","","[""comfort"",""safety"",""leisure"",""working""]","[""#777777"",""#cd26c7"",""#73cf10"",""#632b14""]","[""working"",""leisure"",""safety"",""comfort""]","[""working"",""leisure"",""safety"",""comfort""]","""set2""","2","""2""","""uw_71""","[1,1,1,1]","4","4"
"2930.600000143051","<div style='margin-left: auto;margin-right: auto;width: 75%;text-align: left;'>Great job! You've completed 38% of the trials! Click 'Continue' when you are ready to keep going. </div>","0","html-button-response","40","549270","0.0-40.0","lda3zn2dm2","87941","","","","","","","","","","","","","","","",""
"10179","","","assignment-inference","41","559451","0.0-41.0","lda3zn2dm2","87941","","","","","","[""eggplant"",""speed"",""celery"",""efficiency""]","[""#72005e"",""#608218"",""#b9b9b9"",""#ea1d1d""]","[""eggplant"",""celery"",""efficiency"",""speed""]","[""eggplant"",""efficiency"",""celery"",""speed""]","""set2""","3","""3""","""uw_71""","[1,0,0,1]","2","0"
"8423","","","assignment-inference","42","567875","0.0-42.0","lda3zn2dm2","87941","","","","","","[""carrot"",""comfort"",""safety"",""corn""]","[""#d5b811"",""#cc4f1b"",""#73cf10"",""#632b14""]","[""corn"",""carrot"",""safety"",""comfort""]","[""corn"",""comfort"",""safety"",""carrot""]","""set2""","3","""6""","""uw_71""","[1,0,1,0]","2","0"
