"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","sona_id","success","key_press","value","responses","question_order","label_options","bar_cols","answer_key","label_responses","condition","repetition","category","pal_source","accuracies","total accuracy","order_num"
"2038.9999999999998","Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response","0","2045","0.0-0.0","nq8ezzv3v2","89756","","","","","","","","","","","","","","","",""
"","","","fullscreen","1","4718","0.0-1.0","nq8ezzv3v2","89756","true","","","","","","","","","","","","","","",""
"null","","","html-keyboard-response","2","4729","0.0-2.0","nq8ezzv3v2","89756","","null","","","","","","","","","","","","","",""
"","","","call-function","3","4731","0.0-3.0","nq8ezzv3v2","89756","","","","","","","","","","","","","","","",""
"13614","","","survey-multi-selectMAS","4","18348","0.0-4.0","nq8ezzv3v2","89756","","","","{""Consent"":[""<strong> I consent</strong>""]}","[0]","","","","","","","","","","",""
"1134","Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response","5","19491","0.0-5.0","nq8ezzv3v2","89756","","","","","","","","","","","","","","","",""
"9385.000000000004","","","survey-text","6","28888","0.0-6.0","nq8ezzv3v2","89756","","","","{""Age"":""19"",""Gender"":""male"",""Race"":""white"",""Languages"":""english and Italian""}","","","","","","","","","","","",""
"1975.9999999999927","<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>","","html-keyboard-response","7","30865","0.0-7.0","nq8ezzv3v2","89756","","32","","","","","","","","","","","","","",""
"14276.000000000004","<div style='margin-left: auto;margin-right: auto;width: 80%;text-align: left;'>                <p>In this experiment you will be presented with a series of bar graphs with 4 bars. Above each bar you will be provided with a list of 4 words. Your task will be to decide which colored bar best represents each word. Below is an example of a trial will look like. </p> <p> To match a word to a bar on the graph, move your cursor to a label and then click and drag the label to the empty box under the preferred bar. If you drag a label to a non-preferred bar by mistake, you can click on the ‘Reset labels’ button on the upper left region to reset the labels back to the top of the screen. Once you are done labeling each bar press 'Done' to move onto the next bar graph.</p> Press 'Continue' when you are ready to do a practice trial.<br> </p><img src='data/example_trial.png' style='margin-right:auto;margin-left:auto;width:50%;display:block;border:2px solid black;'></img><br></div>","0","html-button-response","8","45144","0.0-8.0","nq8ezzv3v2","89756","","","","","","","","","","","","","","","",""
"21904","","","assignment-inference","9","67067","0.0-9.0","nq8ezzv3v2","89756","","","","","","[""strawberry"",""blueberry"",""lemon"",""mango""]","[""#2e3086"",""#aac510"",""#f7a75a"",""#db1f9d""]","[""blueberry"",""lemon"",""mango"",""strawberry""]","[""blueberry"",""mango"",""lemon"",""strawberry""]","null","null","""practice_trial""","null","[1,0,0,1]","2","null"
