,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.723,0.700,0.001,0.001,0.800,0.700,0.700,0.001,0.157,0.065,0.700,0.700,0.723,0.723,0.200,0.200,0.157,0.065,0.073,0.001,0.700,0.700,0.700,0.700,0.000,0.001,0.700,0.001,0.001,0.001,0.067,0.050,0.052,0.050,0.001,0.300,0.700,0.200,0.200,0.300,0.345,0.001,0.200,0.700,0.157,0.200,0.200,0.213,0.111,0.200,0.200,0.200,0.700,0.200,0.200,0.200,0.200,0.700,0.200,0.150,0.200,0.200,0.001,0.123,0.123,0.001,0.700,0.700,0.700,0.700,0.200
angry,0.050,0.050,0.123,0.187,0.067,0.067,0.143,0.123,0.123,0.143,0.050,0.023,0.100,0.073,0.123,0.187,0.073,0.123,0.143,0.143,0.074,0.067,0.073,0.073,0.000,0.000,0.073,0.001,0.000,0.000,0.723,0.073,0.073,0.152,0.123,0.073,0.067,0.123,0.123,0.073,0.073,0.000,0.123,0.023,0.023,0.723,0.723,0.107,0.900,0.900,0.200,0.067,0.073,0.200,0.050,0.067,0.123,0.123,0.123,0.625,0.200,0.625,0.900,0.123,0.123,0.123,0.123,0.123,0.123,0.200,0.487
beach,0.700,0.200,0.065,0.065,0.700,0.200,0.200,0.065,0.065,0.065,0.700,0.700,0.700,0.700,0.065,0.065,0.073,0.073,0.073,0.065,0.700,0.700,0.700,0.723,0.000,0.001,0.700,0.001,0.001,0.001,0.023,0.073,0.073,0.073,0.073,0.300,0.624,0.200,0.123,0.213,0.300,0.001,0.300,0.700,0.723,0.200,0.157,0.700,0.067,0.067,0.200,0.123,0.123,0.123,0.200,0.200,0.300,0.700,0.700,0.300,0.600,0.300,0.067,0.123,0.123,0.123,0.123,0.200,0.700,0.700,0.600
below,0.200,0.187,0.050,0.050,0.200,0.700,0.200,0.187,0.035,0.073,0.200,0.672,0.200,0.200,0.187,0.050,0.035,0.187,0.073,0.073,0.052,0.200,0.200,0.001,0.000,0.001,0.200,0.001,0.001,0.001,0.198,0.073,0.001,0.042,0.072,0.200,0.050,0.349,0.200,0.200,0.200,0.001,0.200,0.200,0.023,0.200,0.200,0.200,0.050,0.081,0.200,0.050,0.050,0.200,0.052,0.001,0.200,0.200,0.200,0.200,0.073,0.200,0.050,0.123,0.050,0.200,0.200,0.080,0.077,0.200,0.200
beside,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
blueberry,0.700,0.900,0.700,0.050,0.700,0.800,0.700,0.700,0.050,0.050,0.050,0.900,0.700,0.700,0.900,0.050,0.050,0.700,0.050,0.001,0.050,0.001,0.001,0.001,0.000,0.000,0.700,0.000,0.000,0.000,0.700,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.001,0.000,0.000
dawn,0.150,0.100,0.065,0.065,0.200,0.050,0.200,0.065,0.065,0.065,0.700,0.050,0.200,0.300,0.100,0.065,0.157,0.065,0.065,0.065,0.200,0.073,0.300,0.200,0.000,0.000,0.200,0.001,0.000,0.001,0.067,0.065,0.624,0.067,0.065,0.073,0.102,0.056,0.056,0.102,0.102,0.000,0.200,0.700,0.700,0.701,0.700,0.700,0.067,0.067,0.050,0.074,0.074,0.056,0.102,0.102,0.200,0.700,0.700,0.700,0.700,0.700,0.067,0.076,0.076,0.073,0.065,0.102,0.700,0.700,0.700
day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disgust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dusk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
far,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fearful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
near,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
