,subject_id,trial_index,conc_pal,concept,palette,accuracy,condition
0,pv8mjorbc3,0,13_working,working,13,1,gpt
1,pv8mjorbc3,0,13_leisure,leisure,13,1,gpt
2,pv8mjorbc3,0,13_peach,peach,13,1,gpt
3,pv8mjorbc3,0,13_cherry,cherry,13,1,gpt
4,pv8mjorbc3,1,11_working,working,11,1,gpt
5,pv8mjorbc3,1,11_leisure,leisure,11,0,gpt
6,pv8mjorbc3,1,11_efficiency,efficiency,11,0,gpt
7,pv8mjorbc3,1,11_speed,speed,11,1,gpt
8,pv8mjorbc3,2,15_corn,corn,15,1,gpt
9,pv8mjorbc3,2,15_carrot,carrot,15,1,gpt
10,pv8mjorbc3,2,15_efficiency,efficiency,15,0,gpt
11,pv8mjorbc3,2,15_speed,speed,15,0,gpt
12,pv8mjorbc3,3,9_corn,corn,9,1,gpt
13,pv8mjorbc3,3,9_carrot,carrot,9,1,gpt
14,pv8mjorbc3,3,9_peach,peach,9,1,gpt
15,pv8mjorbc3,3,9_cherry,cherry,9,1,gpt
16,pv8mjorbc3,4,12_eggplant,eggplant,12,0,gpt
17,pv8mjorbc3,4,12_celery,celery,12,1,gpt
18,pv8mjorbc3,4,12_safety,safety,12,0,gpt
19,pv8mjorbc3,4,12_comfort,comfort,12,0,gpt
20,pv8mjorbc3,5,14_eggplant,eggplant,14,0,gpt
21,pv8mjorbc3,5,14_celery,celery,14,1,gpt
22,pv8mjorbc3,5,14_grape,grape,14,0,gpt
23,pv8mjorbc3,5,14_banana,banana,14,1,gpt
24,pv8mjorbc3,6,10_sleeping,sleeping,10,1,gpt
25,pv8mjorbc3,6,10_driving,driving,10,1,gpt
26,pv8mjorbc3,6,10_grape,grape,10,1,gpt
27,pv8mjorbc3,6,10_banana,banana,10,1,gpt
28,pv8mjorbc3,7,16_sleeping,sleeping,16,1,gpt
29,pv8mjorbc3,7,16_driving,driving,16,1,gpt
30,pv8mjorbc3,7,16_safety,safety,16,1,gpt
31,pv8mjorbc3,7,16_comfort,comfort,16,1,gpt
