,subject_id,trial_index,palette,concept,concept_cat,color_index,sem_contrast,rating,log_spec,accuracy
0,pv8mjorbc3,0,12,working,activities,26,0.962,0.625,-4.129446133086593,1
1,pv8mjorbc3,0,12,leisure,activities,35,0.932,0.742,-3.6505726374388012,1
2,pv8mjorbc3,0,12,peach,fruits,47,0.959,0.875,-0.10535879219645802,1
3,pv8mjorbc3,0,12,cherry,fruits,62,1.0,0.875,-0.04344806670581117,1
4,pv8mjorbc3,1,10,working,activities,45,0.664,0.342,-4.129446133086593,1
5,pv8mjorbc3,1,10,leisure,activities,9,0.794,0.652,-3.6505726374388012,0
6,pv8mjorbc3,1,10,efficiency,features,11,0.712,0.742,-3.436635922643991,0
7,pv8mjorbc3,1,10,speed,features,62,0.967,0.85,-2.6734566059538247,1
8,pv8mjorbc3,2,14,corn,vegetables,68,0.964,0.875,-0.3982917379023851,1
9,pv8mjorbc3,2,14,carrot,vegetables,59,0.945,0.652,-0.015028558610303744,1
10,pv8mjorbc3,2,14,efficiency,features,36,0.954,0.742,-3.436635922643991,0
11,pv8mjorbc3,2,14,speed,features,62,0.987,0.85,-2.6734566059538247,0
12,pv8mjorbc3,3,8,corn,vegetables,68,1.0,0.875,-0.3982917379023851,1
13,pv8mjorbc3,3,8,carrot,vegetables,61,0.995,0.875,-0.015028558610303744,1
14,pv8mjorbc3,3,8,peach,fruits,47,0.995,0.875,-0.10535879219645802,1
15,pv8mjorbc3,3,8,cherry,fruits,49,1.0,0.875,-0.04344806670581117,1
16,pv8mjorbc3,4,11,eggplant,vegetables,7,0.979,0.85,-0.21717011946923673,0
17,pv8mjorbc3,4,11,celery,vegetables,54,0.834,0.785,-0.16826240595420835,1
18,pv8mjorbc3,4,11,safety,features,68,0.798,0.7,-2.629543317344972,0
19,pv8mjorbc3,4,11,comfort,features,45,0.819,0.672,-11.512925464970229,0
20,pv8mjorbc3,5,13,eggplant,vegetables,14,0.869,0.875,-0.21717011946923673,0
21,pv8mjorbc3,5,13,celery,vegetables,39,0.999,0.785,-0.16826240595420835,1
22,pv8mjorbc3,5,13,grape,fruits,9,0.868,0.7,-1.1579603179296847,0
23,pv8mjorbc3,5,13,banana,fruits,68,1.0,0.875,9.999950000398841e-06,1
24,pv8mjorbc3,6,9,sleeping,activities,24,0.992,0.8,-1.9968185602622677,1
25,pv8mjorbc3,6,9,driving,activities,62,0.994,0.7,-2.7531029318499223,1
